SHOT_ID,video_url,PLAYER_ID,PLAYER_NAME,GRID_TYPE,GAME_ID,GAME_EVENT_ID,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,PLAYERS_ON,assisted,season_type,year_source,team_id,time,extra,year,month,day,api_game_id,uuid
2170001215,https://videos.nba.com/nba/pbp/media/2017/10/18/21700012.0/15/f2f7f354-b5d0-8191-16af-3c8b097191b6_1280x720.mp4,202339,Eric Bledsoe,Shot Chart Detail,21700012,15,1610612756,Phoenix Suns,1,11,19,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-29,77,1,0,20171018,PHX,POR,2199|202339|203933|1626164|1628367,0,REG,2018,1610612756,410,0,2017.0,10.0,18.0,21700012.0,f2f7f354-b5d0-8191-16af-3c8b097191b6
2170001217,https://videos.nba.com/nba/pbp/media/2017/10/18/21700012.0/17/174ac77d-140e-4c6a-7d4d-9ad8c46e770f_1280x720.mp4,2199,Tyson Chandler,Shot Chart Detail,21700012,17,1610612756,Phoenix Suns,1,11,16,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6,1,0,20171018,PHX,POR,2199|202339|203933|1626164|1628367,0,REG,2018,1610612756,440,0,2017.0,10.0,18.0,21700012.0,174ac77d-140e-4c6a-7d4d-9ad8c46e770f
2170001219,https://videos.nba.com/nba/pbp/media/2017/10/18/21700012.0/19/75f7ee0c-520b-3139-ce28-1b29767a4787_1280x720.mp4,1628367,Josh Jackson,Shot Chart Detail,21700012,19,1610612756,Phoenix Suns,1,11,7,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,228,14,1,1,20171018,PHX,POR,2199|202339|203933|1626164|1628367,1,REG,2018,1610612756,530,0,2017.0,10.0,18.0,21700012.0,75f7ee0c-520b-3139-ce28-1b29767a4787
2170001225,https://videos.nba.com/nba/pbp/media/2017/10/18/21700012.0/25/0c06659e-28cf-89fa-d25b-63d22624bd40_1280x720.mp4,1626164,Devin Booker,Shot Chart Detail,21700012,25,1610612756,Phoenix Suns,1,10,31,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,12,74,104,1,1,20171018,PHX,POR,2199|202339|203933|1626164|1628367,0,REG,2018,1610612756,890,0,2017.0,10.0,18.0,21700012.0,0c06659e-28cf-89fa-d25b-63d22624bd40
2170001228,https://videos.nba.com/nba/pbp/media/2017/10/18/21700012.0/28/b31bd782-dd1c-38c1-c24a-c9e478584196_1280x720.mp4,202339,Eric Bledsoe,Shot Chart Detail,21700012,28,1610612756,Phoenix Suns,1,9,54,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-141,205,1,0,20171018,PHX,POR,2199|202339|203933|1626164|1628367,0,REG,2018,1610612756,1260,0,2017.0,10.0,18.0,21700012.0,b31bd782-dd1c-38c1-c24a-c9e478584196
2170001240,https://videos.nba.com/nba/pbp/media/2017/10/18/21700012.0/40/3e753356-3e7d-65c6-2db9-ca9469ddd001_1280x720.mp4,1628367,Josh Jackson,Shot Chart Detail,21700012,40,1610612756,Phoenix Suns,1,9,4,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,-11,1,1,20171018,PHX,POR,2199|202339|203933|1626164|1628367,1,REG,2018,1610612756,1760,0,2017.0,10.0,18.0,21700012.0,3e753356-3e7d-65c6-2db9-ca9469ddd001
2170001244,https://videos.nba.com/nba/pbp/media/2017/10/18/21700012.0/44/3fc5d443-c1e1-b0f8-5562-022f3acfc827_1280x720.mp4,202339,Eric Bledsoe,Shot Chart Detail,21700012,44,1610612756,Phoenix Suns,1,8,32,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-11,75,1,0,20171018,PHX,POR,2199|202339|203933|1626164|1628367,0,REG,2018,1610612756,2080,0,2017.0,10.0,18.0,21700012.0,3fc5d443-c1e1-b0f8-5562-022f3acfc827
2170001252,https://videos.nba.com/nba/pbp/media/2017/10/18/21700012.0/52/55e91625-a42a-9155-2131-fea40616d541_1280x720.mp4,1626164,Devin Booker,Shot Chart Detail,21700012,52,1610612756,Phoenix Suns,1,8,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-168,188,1,0,20171018,PHX,POR,2199|202339|203933|1626164|1628367,0,REG,2018,1610612756,2400,0,2017.0,10.0,18.0,21700012.0,55e91625-a42a-9155-2131-fea40616d541
2170001256,https://videos.nba.com/nba/pbp/media/2017/10/18/21700012.0/56/c72abdd3-4941-64b2-aa08-15212d6fc23d_1280x720.mp4,203933,T.J. Warren,Shot Chart Detail,21700012,56,1610612756,Phoenix Suns,1,7,40,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-62,10,1,1,20171018,PHX,POR,2199|202339|203933|1626164|1628367,0,REG,2018,1610612756,2600,0,2017.0,10.0,18.0,21700012.0,c72abdd3-4941-64b2-aa08-15212d6fc23d
2170001263,https://videos.nba.com/nba/pbp/media/2017/10/18/21700012.0/63/6f84000c-9f2b-3f41-365d-679b9c2b9b25_1280x720.mp4,1626164,Devin Booker,Shot Chart Detail,21700012,63,1610612756,Phoenix Suns,1,6,57,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-100,52,1,0,20171018,PHX,POR,2199|203933|1626164|1627755|1628367,0,REG,2018,1610612756,3030,0,2017.0,10.0,18.0,21700012.0,6f84000c-9f2b-3f41-365d-679b9c2b9b25
2170001271,https://videos.nba.com/nba/pbp/media/2017/10/18/21700012.0/71/16250841-38f4-40b3-35d9-338c0f2512e5_1280x720.mp4,2199,Tyson Chandler,Shot Chart Detail,21700012,71,1610612756,Phoenix Suns,1,6,25,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,7,20,1,0,20171018,PHX,POR,2199|203933|1626164|1627755|1628367,0,REG,2018,1610612756,3350,0,2017.0,10.0,18.0,21700012.0,16250841-38f4-40b3-35d9-338c0f2512e5
2170001279,https://videos.nba.com/nba/pbp/media/2017/10/18/21700012.0/79/e9fd50bb-8a65-5485-e686-3ee98f522c1b_1280x720.mp4,203933,T.J. Warren,Shot Chart Detail,21700012,79,1610612756,Phoenix Suns,1,5,58,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,8,20,1,0,20171018,PHX,POR,2199|203933|1626164|1627755|1628367,0,REG,2018,1610612756,3620,0,2017.0,10.0,18.0,21700012.0,e9fd50bb-8a65-5485-e686-3ee98f522c1b
2170001284,https://videos.nba.com/nba/pbp/media/2017/10/18/21700012.0/84/8b3ca069-26f4-e1cc-9a47-3c937b664772_1280x720.mp4,1628367,Josh Jackson,Shot Chart Detail,21700012,84,1610612756,Phoenix Suns,1,5,37,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,39,89,1,0,20171018,PHX,POR,2199|203933|1626164|1627755|1628367,0,REG,2018,1610612756,3830,0,2017.0,10.0,18.0,21700012.0,8b3ca069-26f4-e1cc-9a47-3c937b664772
2170001288,https://videos.nba.com/nba/pbp/media/2017/10/18/21700012.0/88/a1833d62-1d7f-c562-5c8d-e1fe62bb7691_1280x720.mp4,2199,Tyson Chandler,Shot Chart Detail,21700012,88,1610612756,Phoenix Suns,1,5,17,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,9,1,1,20171018,PHX,POR,2199|203933|1626164|1627755|1628367,1,REG,2018,1610612756,4030,0,2017.0,10.0,18.0,21700012.0,a1833d62-1d7f-c562-5c8d-e1fe62bb7691
2170001292,https://videos.nba.com/nba/pbp/media/2017/10/18/21700012.0/92/923d97d3-9659-9673-5f88-7bf8488fc099_1280x720.mp4,1626164,Devin Booker,Shot Chart Detail,21700012,92,1610612756,Phoenix Suns,1,4,48,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,2,37,1,0,20171018,PHX,POR,2199|203933|1626164|1627755|1628367,0,REG,2018,1610612756,4320,0,2017.0,10.0,18.0,21700012.0,923d97d3-9659-9673-5f88-7bf8488fc099
21700012125,https://videos.nba.com/nba/pbp/media/2017/10/18/21700012.0/125/d362aa64-d3c5-4d35-a18e-3761be6884b5_1280x720.mp4,1626164,Devin Booker,Shot Chart Detail,21700012,125,1610612756,Phoenix Suns,1,4,16,Missed Shot,Running Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,5,1,0,20171018,PHX,POR,2199|203933|1626164|1627755|1628367,0,REG,2018,1610612756,4640,0,2017.0,10.0,18.0,21700012.0,d362aa64-d3c5-4d35-a18e-3761be6884b5
2170001296,https://videos.nba.com/nba/pbp/media/2017/10/18/21700012.0/96/2ef08df0-5b11-6370-a876-7ef18d7b4ac1_1280x720.mp4,1626164,Devin Booker,Shot Chart Detail,21700012,96,1610612756,Phoenix Suns,1,4,13,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,1,21,1,1,20171018,PHX,POR,2199|203933|1626164|1627755|1628367,0,REG,2018,1610612756,4670,0,2017.0,10.0,18.0,21700012.0,2ef08df0-5b11-6370-a876-7ef18d7b4ac1
21700012106,https://videos.nba.com/nba/pbp/media/2017/10/18/21700012.0/106/d8fb385c-55a1-6998-b16f-93a1f9df23ef_1280x720.mp4,1626164,Devin Booker,Shot Chart Detail,21700012,106,1610612756,Phoenix Suns,1,3,33,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,120,46,1,1,20171018,PHX,POR,203933|1626164|1627737|1627755|1628367,0,REG,2018,1610612756,5070,0,2017.0,10.0,18.0,21700012.0,d8fb385c-55a1-6998-b16f-93a1f9df23ef
21700012116,https://videos.nba.com/nba/pbp/media/2017/10/18/21700012.0/116/a65e838c-07d2-ae43-04ce-b00d5cc04941_1280x720.mp4,1627737,Marquese Chriss,Shot Chart Detail,21700012,116,1610612756,Phoenix Suns,1,3,1,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-5,14,1,0,20171018,PHX,POR,202339|203933|1626164|1627733|1627737,0,REG,2018,1610612756,5390,0,2017.0,10.0,18.0,21700012.0,a65e838c-07d2-ae43-04ce-b00d5cc04941
21700012120,https://videos.nba.com/nba/pbp/media/2017/10/18/21700012.0/120/c40c7947-220b-0f53-dd5b-0c7d40eac1a2_1280x720.mp4,203933,T.J. Warren,Shot Chart Detail,21700012,120,1610612756,Phoenix Suns,1,2,24,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,-15,128,1,0,20171018,PHX,POR,202339|203933|1626164|1627733|1627737,0,REG,2018,1610612756,5760,0,2017.0,10.0,18.0,21700012.0,c40c7947-220b-0f53-dd5b-0c7d40eac1a2
21700012143,https://videos.nba.com/nba/pbp/media/2017/10/18/21700012.0/143/2008ce8b-c0fa-65c3-3525-d6db441a6ef1_1280x720.mp4,203584,Troy Daniels,Shot Chart Detail,21700012,143,1610612756,Phoenix Suns,1,1,20,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,126,225,1,0,20171018,PHX,POR,202339|203584|203933|1627733|1627737,0,REG,2018,1610612756,6400,0,2017.0,10.0,18.0,21700012.0,2008ce8b-c0fa-65c3-3525-d6db441a6ef1
21700012149,https://videos.nba.com/nba/pbp/media/2017/10/18/21700012.0/149/c2f4b761-2956-e776-87a5-a08020f6abb0_1280x720.mp4,202339,Eric Bledsoe,Shot Chart Detail,21700012,149,1610612756,Phoenix Suns,1,0,37,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,4,1,1,20171018,PHX,POR,202339|203584|203933|1627733|1627737,0,REG,2018,1610612756,6830,0,2017.0,10.0,18.0,21700012.0,c2f4b761-2956-e776-87a5-a08020f6abb0
21700012170,https://videos.nba.com/nba/pbp/media/2017/10/18/21700012.0/170/427af404-077a-677e-a5f1-4e3facb8c825_1280x720.mp4,1627733,Dragan Bender,Shot Chart Detail,21700012,170,1610612756,Phoenix Suns,2,11,46,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,5,69,1,0,20171018,PHX,POR,202339|203584|1626164|1627733|1628367,0,REG,2018,1610612756,7340,0,2017.0,10.0,18.0,21700012.0,427af404-077a-677e-a5f1-4e3facb8c825
