SHOT_ID,video_url,PLAYER_ID,PLAYER_NAME,GRID_TYPE,GAME_ID,GAME_EVENT_ID,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,PLAYERS_ON,assisted,season_type,year_source,team_id,time,extra,year,month,day,api_game_id,uuid
215000152,https://videos.nba.com/nba/pbp/media/2015/10/28/0021500015/2/e39dcd60-9200-355e-3861-661500664634_1280x720.mp4,202329,Al-Farouq Aminu,Shot Chart Detail,21500015,2,1610612757,Portland Trail Blazers,1,11,33,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,25,-250,-16,1,1,20151028,POR,NOP,|202329|203081|203086|203468|203486,1,REG,2016,1610612757,,,2015.0,10.0,28.0,21500015.0,e39dcd60-9200-355e-3861-661500664634
215000155,https://videos.nba.com/nba/pbp/media/2015/10/28/0021500015/5/51f07ea0-adc3-d518-95ca-1f88d5e0651e_1280x720.mp4,203086,Meyers Leonard,Shot Chart Detail,21500015,5,1610612757,Portland Trail Blazers,1,11,3,Missed Shot,Jump Shot,,Above the Break 3,Center(C),24+ ft.,25,-9,252,1,0,20151028,POR,NOP,|202329|203081|203086|203468|203486,0,REG,2016,1610612757,,,2015.0,10.0,28.0,21500015.0,51f07ea0-adc3-d518-95ca-1f88d5e0651e
215000159,https://videos.nba.com/nba/pbp/media/2015/10/28/0021500015/9/3a76f6f5-4692-eb05-c9ca-e3686c751326_1280x720.mp4,203081,Damian Lillard,Shot Chart Detail,21500015,9,1610612757,Portland Trail Blazers,1,10,37,Made Shot,Driving Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,-11,-1,1,1,20151028,POR,NOP,|202329|203081|203086|203468|203486,0,REG,2016,1610612757,,,2015.0,10.0,28.0,21500015.0,3a76f6f5-4692-eb05-c9ca-e3686c751326
2150001512,https://videos.nba.com/nba/pbp/media/2015/10/28/0021500015/12/9524ea28-a793-a88c-9a41-2a3336af5e1f_1280x720.mp4,203468,CJ McCollum,Shot Chart Detail,21500015,12,1610612757,Portland Trail Blazers,1,10,15,Missed Shot,Jump Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-40,56,1,0,20151028,POR,NOP,|202329|203081|203086|203468|203486,0,REG,2016,1610612757,,,2015.0,10.0,28.0,21500015.0,9524ea28-a793-a88c-9a41-2a3336af5e1f
2150001522,https://videos.nba.com/nba/pbp/media/2015/10/28/0021500015/22/511de310-49c0-3279-b57e-46022478b400_1280x720.mp4,203086,Meyers Leonard,Shot Chart Detail,21500015,22,1610612757,Portland Trail Blazers,1,9,25,Missed Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,25,-192,169,1,0,20151028,POR,NOP,|202329|203081|203086|203468|203486,0,REG,2016,1610612757,,,2015.0,10.0,28.0,21500015.0,511de310-49c0-3279-b57e-46022478b400
2150001527,https://videos.nba.com/nba/pbp/media/2015/10/28/0021500015/27/cdb96ec5-0e61-e212-8460-7ccde42f7611_1280x720.mp4,203468,CJ McCollum,Shot Chart Detail,21500015,27,1610612757,Portland Trail Blazers,1,9,16,Made Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,25,195,160,1,1,20151028,POR,NOP,|202329|203081|203086|203468|203486,1,REG,2016,1610612757,,,2015.0,10.0,28.0,21500015.0,cdb96ec5-0e61-e212-8460-7ccde42f7611
2150001533,https://videos.nba.com/nba/pbp/media/2015/10/28/0021500015/33/82421a21-9754-02cf-2228-3089f8df15f3_1280x720.mp4,203086,Meyers Leonard,Shot Chart Detail,21500015,33,1610612757,Portland Trail Blazers,1,8,19,Missed Shot,Jump Shot,,Above the Break 3,Center(C),24+ ft.,25,19,257,1,0,20151028,POR,NOP,|202329|203081|203086|203468|203486,0,REG,2016,1610612757,,,2015.0,10.0,28.0,21500015.0,82421a21-9754-02cf-2228-3089f8df15f3
2150001544,https://videos.nba.com/nba/pbp/media/2015/10/28/0021500015/44/16733640-a6d6-bc1d-dc75-75c922cc7152_1280x720.mp4,203468,CJ McCollum,Shot Chart Detail,21500015,44,1610612757,Portland Trail Blazers,1,7,34,Made Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,29,-176,232,1,1,20151028,POR,NOP,|202329|203081|203086|203468|203486,1,REG,2016,1610612757,,,2015.0,10.0,28.0,21500015.0,16733640-a6d6-bc1d-dc75-75c922cc7152
2150001549,https://videos.nba.com/nba/pbp/media/2015/10/28/0021500015/49/70b7ab0c-076a-c47c-cd81-d87a22ab592f_1280x720.mp4,203486,Mason Plumlee,Shot Chart Detail,21500015,49,1610612757,Portland Trail Blazers,1,7,5,Made Shot,Jump Bank Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-66,26,1,1,20151028,POR,NOP,|202329|203081|203086|203468|203486,1,REG,2016,1610612757,,,2015.0,10.0,28.0,21500015.0,70b7ab0c-076a-c47c-cd81-d87a22ab592f
2150001557,https://videos.nba.com/nba/pbp/media/2015/10/28/0021500015/57/0bf552a1-b455-69ee-b69b-26f9cbf1927c_1280x720.mp4,203468,CJ McCollum,Shot Chart Detail,21500015,57,1610612757,Portland Trail Blazers,1,6,34,Made Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,24,187,165,1,1,20151028,POR,NOP,|202329|203081|203086|203468|203486,1,REG,2016,1610612757,,,2015.0,10.0,28.0,21500015.0,0bf552a1-b455-69ee-b69b-26f9cbf1927c
2150001566,https://videos.nba.com/nba/pbp/media/2015/10/28/0021500015/66/36811de3-688b-9adf-b6c8-a42f7dbe7333_1280x720.mp4,202329,Al-Farouq Aminu,Shot Chart Detail,21500015,66,1610612757,Portland Trail Blazers,1,5,59,Missed Shot,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,14,-1,1,0,20151028,POR,NOP,|202329|203081|203086|203468|203486,0,REG,2016,1610612757,,,2015.0,10.0,28.0,21500015.0,36811de3-688b-9adf-b6c8-a42f7dbe7333
2150001570,https://videos.nba.com/nba/pbp/media/2015/10/28/0021500015/70/cfd5ecdc-5297-2019-5ccf-dfdbb0b8c318_1280x720.mp4,203468,CJ McCollum,Shot Chart Detail,21500015,70,1610612757,Portland Trail Blazers,1,5,36,Made Shot,Driving Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,2,-20,-1,1,1,20151028,POR,NOP,|202329|203081|203086|203468|203486,0,REG,2016,1610612757,,,2015.0,10.0,28.0,21500015.0,cfd5ecdc-5297-2019-5ccf-dfdbb0b8c318
2150001576,https://videos.nba.com/nba/pbp/media/2015/10/28/0021500015/76/93ec0ddf-ff0c-0507-c558-199345d56b01_1280x720.mp4,203486,Mason Plumlee,Shot Chart Detail,21500015,76,1610612757,Portland Trail Blazers,1,5,10,Missed Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,2,22,-6,1,0,20151028,POR,NOP,|202329|203081|203086|203459|203486,0,REG,2016,1610612757,,,2015.0,10.0,28.0,21500015.0,93ec0ddf-ff0c-0507-c558-199345d56b01
2150001577,https://videos.nba.com/nba/pbp/media/2015/10/28/0021500015/77/89490771-1c63-207a-93ae-fee7eb8faf53_1280x720.mp4,203486,Mason Plumlee,Shot Chart Detail,21500015,77,1610612757,Portland Trail Blazers,1,5,8,Made Shot,Putback Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,7,1,1,20151028,POR,NOP,|202329|203081|203086|203459|203486,0,REG,2016,1610612757,,,2015.0,10.0,28.0,21500015.0,89490771-1c63-207a-93ae-fee7eb8faf53
2150001581,https://videos.nba.com/nba/pbp/media/2015/10/28/0021500015/81/310876f3-c88a-536c-f2b6-7c2b73361748_1280x720.mp4,202329,Al-Farouq Aminu,Shot Chart Detail,21500015,81,1610612757,Portland Trail Blazers,1,4,45,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,222,3,1,0,20151028,POR,NOP,|202329|203081|203086|203459|203486,0,REG,2016,1610612757,,,2015.0,10.0,28.0,21500015.0,310876f3-c88a-536c-f2b6-7c2b73361748
2150001590,https://videos.nba.com/nba/pbp/media/2015/10/28/0021500015/90/ef94a3ee-5683-37ba-8d8a-9ad62ad8de03_1280x720.mp4,203081,Damian Lillard,Shot Chart Detail,21500015,90,1610612757,Portland Trail Blazers,1,4,29,Made Shot,Jump Shot,,Mid-Range,Left Side(L),16-24 ft.,17,-174,13,1,1,20151028,POR,NOP,|202329|202334|203081|203086|203459,0,REG,2016,1610612757,,,2015.0,10.0,28.0,21500015.0,ef94a3ee-5683-37ba-8d8a-9ad62ad8de03
2150001593,https://videos.nba.com/nba/pbp/media/2015/10/28/0021500015/93/1f58f4a3-ccb5-8a04-cc59-ca876dcb63c8_1280x720.mp4,203081,Damian Lillard,Shot Chart Detail,21500015,93,1610612757,Portland Trail Blazers,1,4,2,Missed Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,24,133,203,1,0,20151028,POR,NOP,|202329|202334|203081|203086|203459,0,REG,2016,1610612757,,,2015.0,10.0,28.0,21500015.0,1f58f4a3-ccb5-8a04-cc59-ca876dcb63c8
2150001596,https://videos.nba.com/nba/pbp/media/2015/10/28/0021500015/96/f6e7ee83-345c-d540-c036-7b54cdf1043a_1280x720.mp4,203081,Damian Lillard,Shot Chart Detail,21500015,96,1610612757,Portland Trail Blazers,1,3,50,Missed Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,25,132,223,1,0,20151028,POR,NOP,|202329|202334|203081|203086|203459,0,REG,2016,1610612757,,,2015.0,10.0,28.0,21500015.0,f6e7ee83-345c-d540-c036-7b54cdf1043a
2150001598,https://videos.nba.com/nba/pbp/media/2015/10/28/0021500015/98/b957c6cf-0614-8a32-0682-ba91b49c99a1_1280x720.mp4,203086,Meyers Leonard,Shot Chart Detail,21500015,98,1610612757,Portland Trail Blazers,1,3,47,Missed Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,-2,-11,1,0,20151028,POR,NOP,|202329|202334|203081|203086|203459,0,REG,2016,1610612757,,,2015.0,10.0,28.0,21500015.0,b957c6cf-0614-8a32-0682-ba91b49c99a1
21500015117,https://videos.nba.com/nba/pbp/media/2015/10/28/0021500015/117/c4ee5052-8307-37db-7652-d3477cf868b1_1280x720.mp4,203081,Damian Lillard,Shot Chart Detail,21500015,117,1610612757,Portland Trail Blazers,1,3,25,Made Shot,Jump Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-9,62,1,1,20151028,POR,NOP,|202334|203081|203090|203459|203943,0,REG,2016,1610612757,,,2015.0,10.0,28.0,21500015.0,c4ee5052-8307-37db-7652-d3477cf868b1
21500015127,https://videos.nba.com/nba/pbp/media/2015/10/28/0021500015/127/54bb07e8-5bb7-8ef8-bc4b-f52dbbcaf625_1280x720.mp4,203459,Allen Crabbe,Shot Chart Detail,21500015,127,1610612757,Portland Trail Blazers,1,2,33,Made Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,-14,-1,1,1,20151028,POR,NOP,|202334|203090|203459|203468|203943,1,REG,2016,1610612757,,,2015.0,10.0,28.0,21500015.0,54bb07e8-5bb7-8ef8-bc4b-f52dbbcaf625
21500015129,https://videos.nba.com/nba/pbp/media/2015/10/28/0021500015/129/effac295-d03c-87d3-0742-4a633a06b33b_1280x720.mp4,203459,Allen Crabbe,Shot Chart Detail,21500015,129,1610612757,Portland Trail Blazers,1,2,22,Missed Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,6,-11,1,0,20151028,POR,NOP,|202334|203090|203459|203468|203943,0,REG,2016,1610612757,,,2015.0,10.0,28.0,21500015.0,effac295-d03c-87d3-0742-4a633a06b33b
21500015130,https://videos.nba.com/nba/pbp/media/2015/10/28/0021500015/130/3cf07b03-7979-05f1-34be-50409201f282_1280x720.mp4,203468,CJ McCollum,Shot Chart Detail,21500015,130,1610612757,Portland Trail Blazers,1,2,20,Made Shot,Putback Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,4,16,1,1,20151028,POR,NOP,|202334|203090|203459|203468|203943,0,REG,2016,1610612757,,,2015.0,10.0,28.0,21500015.0,3cf07b03-7979-05f1-34be-50409201f282
21500015137,https://videos.nba.com/nba/pbp/media/2015/10/28/0021500015/137/105a8d17-a222-0024-6113-28f975e1dc7f_1280x720.mp4,203090,Maurice Harkless,Shot Chart Detail,21500015,137,1610612757,Portland Trail Blazers,1,1,36,Missed Shot,Jump Shot,,Left Corner 3,Left Side(L),24+ ft.,23,-235,36,1,0,20151028,POR,NOP,|202334|203090|203459|203468|203943,0,REG,2016,1610612757,,,2015.0,10.0,28.0,21500015.0,105a8d17-a222-0024-6113-28f975e1dc7f
21500015152,https://videos.nba.com/nba/pbp/media/2015/10/28/0021500015/152/bf550ece-5965-00c3-4a70-658be41de7ba_1280x720.mp4,203468,CJ McCollum,Shot Chart Detail,21500015,152,1610612757,Portland Trail Blazers,1,0,37,Made Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,27,-161,219,1,1,20151028,POR,NOP,|202334|203090|203459|203468|203943,0,REG,2016,1610612757,,,2015.0,10.0,28.0,21500015.0,bf550ece-5965-00c3-4a70-658be41de7ba
21500015159,https://videos.nba.com/nba/pbp/media/2015/10/28/0021500015/159/4daa3e73-55c8-d1f6-9c49-c0bbea135b4e_1280x720.mp4,203468,CJ McCollum,Shot Chart Detail,21500015,159,1610612757,Portland Trail Blazers,1,0,4,Made Shot,Jump Shot,,Above the Break 3,Center(C),24+ ft.,25,78,247,1,1,20151028,POR,NOP,|202334|203090|203459|203468|203943,0,REG,2016,1610612757,,,2015.0,10.0,28.0,21500015.0,4daa3e73-55c8-d1f6-9c49-c0bbea135b4e
21500015167,https://videos.nba.com/nba/pbp/media/2015/10/28/0021500015/167/535f8013-f034-94f3-7f21-814903822179_1280x720.mp4,203459,Allen Crabbe,Shot Chart Detail,21500015,167,1610612757,Portland Trail Blazers,2,11,33,Missed Shot,Jump Shot,,Mid-Range,Center(C),16-24 ft.,20,-61,195,1,0,20151028,POR,NOP,|202334|203090|203459|203468|203943,0,REG,2016,1610612757,,,2015.0,10.0,28.0,21500015.0,535f8013-f034-94f3-7f21-814903822179
21500015173,https://videos.nba.com/nba/pbp/media/2015/10/28/0021500015/173/635ac7b9-0f5b-b072-1106-b53d99f8d5b8_1280x720.mp4,203468,CJ McCollum,Shot Chart Detail,21500015,173,1610612757,Portland Trail Blazers,2,10,48,Made Shot,Jump Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-48,28,1,1,20151028,POR,NOP,|202334|203090|203459|203468|203943,0,REG,2016,1610612757,,,2015.0,10.0,28.0,21500015.0,635ac7b9-0f5b-b072-1106-b53d99f8d5b8
