SHOT_ID,video_url,PLAYER_ID,PLAYER_NAME,GRID_TYPE,GAME_ID,GAME_EVENT_ID,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,PLAYERS_ON,assisted,season_type,year_source,team_id,time,extra,year,month,day,api_game_id,uuid
2230003114,https://videos.nba.com/nba/pbp/media/2023/11/17/0022300031/14/8fdeaf3b-0555-77c3-6983-145393066cb2_1280x720.mp4,1627783,Pascal Siakam,Shot Chart Detail,22300031,14,1610612761,Toronto Raptors,1,11,8,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-4,10,1,1,20231117,TOR,BOS,203471|1627751|1627783|1629018|1630567,1,REG,2024,1610612761,520,0,2023.0,11.0,17.0,22300031.0,8fdeaf3b-0555-77c3-6983-145393066cb2
2230003118,https://videos.nba.com/nba/pbp/media/2023/11/17/0022300031/18/0651f03f-8d70-2c56-2bf1-140cc86144f9_1280x720.mp4,1630567,Scottie Barnes,Shot Chart Detail,22300031,18,1610612761,Toronto Raptors,1,10,33,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,4,1,1,20231117,TOR,BOS,203471|1627751|1627783|1629018|1630567,1,REG,2024,1610612761,870,0,2023.0,11.0,17.0,22300031.0,0651f03f-8d70-2c56-2bf1-140cc86144f9
2230003122,https://videos.nba.com/nba/pbp/media/2023/11/17/0022300031/22/05b5df13-bcf0-4b65-34a5-df06d9eeb044_1280x720.mp4,1627751,Jakob Poeltl,Shot Chart Detail,22300031,22,1610612761,Toronto Raptors,1,10,0,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,0,1,1,20231117,TOR,BOS,203471|1627751|1627783|1629018|1630567,1,REG,2024,1610612761,1200,0,2023.0,11.0,17.0,22300031.0,05b5df13-bcf0-4b65-34a5-df06d9eeb044
2230003126,https://videos.nba.com/nba/pbp/media/2023/11/17/0022300031/26/63185b40-6d8e-5427-6a1a-5879db97be29_1280x720.mp4,1627783,Pascal Siakam,Shot Chart Detail,22300031,26,1610612761,Toronto Raptors,1,9,42,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,7,1,1,20231117,TOR,BOS,203471|1627751|1627783|1629018|1630567,1,REG,2024,1610612761,1380,0,2023.0,11.0,17.0,22300031.0,63185b40-6d8e-5427-6a1a-5879db97be29
2230003130,https://videos.nba.com/nba/pbp/media/2023/11/17/0022300031/30/dce451d7-9f8f-d9a6-1037-655cae6d92fa_1280x720.mp4,203471,Dennis Schröder,Shot Chart Detail,22300031,30,1610612761,Toronto Raptors,1,9,6,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-232,89,1,0,20231117,TOR,BOS,203471|1627751|1627783|1629018|1630567,0,REG,2024,1610612761,1740,0,2023.0,11.0,17.0,22300031.0,dce451d7-9f8f-d9a6-1037-655cae6d92fa
2230003134,https://videos.nba.com/nba/pbp/media/2023/11/17/0022300031/34/63bef46c-89ac-2cbb-132a-3b716fb833d9_1280x720.mp4,1629018,Gary Trent Jr.,Shot Chart Detail,22300031,34,1610612761,Toronto Raptors,1,8,40,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-43,95,1,0,20231117,TOR,BOS,203471|1627751|1627783|1629018|1630567,0,REG,2024,1610612761,2000,0,2023.0,11.0,17.0,22300031.0,63bef46c-89ac-2cbb-132a-3b716fb833d9
2230003140,https://videos.nba.com/nba/pbp/media/2023/11/17/0022300031/40/72456dc0-a426-49ef-4f3a-d36840d8b91f_1280x720.mp4,203471,Dennis Schröder,Shot Chart Detail,22300031,40,1610612761,Toronto Raptors,1,8,13,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-234,-10,1,1,20231117,TOR,BOS,203471|1627751|1627783|1629018|1630567,1,REG,2024,1610612761,2270,0,2023.0,11.0,17.0,22300031.0,72456dc0-a426-49ef-4f3a-d36840d8b91f
2230003146,https://videos.nba.com/nba/pbp/media/2023/11/17/0022300031/46/bc0efc9f-2c3d-2411-bd1d-dfb05bee06ec_1280x720.mp4,1629018,Gary Trent Jr.,Shot Chart Detail,22300031,46,1610612761,Toronto Raptors,1,7,48,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,11,1,1,20231117,TOR,BOS,203471|1627751|1627783|1629018|1630567,0,REG,2024,1610612761,2520,0,2023.0,11.0,17.0,22300031.0,bc0efc9f-2c3d-2411-bd1d-dfb05bee06ec
2230003152,https://videos.nba.com/nba/pbp/media/2023/11/17/0022300031/52/13a0c7d0-82a5-9073-4d00-64a09e822a2b_1280x720.mp4,1629018,Gary Trent Jr.,Shot Chart Detail,22300031,52,1610612761,Toronto Raptors,1,7,15,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-224,109,1,1,20231117,TOR,BOS,203471|1627751|1627783|1629018|1630567,1,REG,2024,1610612761,2850,0,2023.0,11.0,17.0,22300031.0,13a0c7d0-82a5-9073-4d00-64a09e822a2b
2230003157,https://videos.nba.com/nba/pbp/media/2023/11/17/0022300031/57/8e7fd994-fc14-6815-ef77-52c63896e233_1280x720.mp4,1627783,Pascal Siakam,Shot Chart Detail,22300031,57,1610612761,Toronto Raptors,1,6,38,Made Shot,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,1,1,1,20231117,TOR,BOS,203471|1627751|1627783|1629018|1630567,0,REG,2024,1610612761,3220,0,2023.0,11.0,17.0,22300031.0,8e7fd994-fc14-6815-ef77-52c63896e233
2230003172,https://videos.nba.com/nba/pbp/media/2023/11/17/0022300031/72/c2afb861-faa0-29ba-4b46-a446bb3534f2_1280x720.mp4,1627783,Pascal Siakam,Shot Chart Detail,22300031,72,1610612761,Toronto Raptors,1,5,49,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-28,59,1,1,20231117,TOR,BOS,203471|1627751|1627783|1629018|1641711,1,REG,2024,1610612761,3710,0,2023.0,11.0,17.0,22300031.0,c2afb861-faa0-29ba-4b46-a446bb3534f2
2230003177,https://videos.nba.com/nba/pbp/media/2023/11/17/0022300031/77/baf74247-0976-7a7f-0c2f-9b47b25d3a7e_1280x720.mp4,1629018,Gary Trent Jr.,Shot Chart Detail,22300031,77,1610612761,Toronto Raptors,1,5,22,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-44,265,1,1,20231117,TOR,BOS,203471|1627751|1627783|1629018|1641711,0,REG,2024,1610612761,3980,0,2023.0,11.0,17.0,22300031.0,baf74247-0976-7a7f-0c2f-9b47b25d3a7e
2230003179,https://videos.nba.com/nba/pbp/media/2023/11/17/0022300031/79/6d330b41-dc41-83b1-ed4c-acf2241a78f1_1280x720.mp4,203471,Dennis Schröder,Shot Chart Detail,22300031,79,1610612761,Toronto Raptors,1,4,39,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-138,225,1,0,20231117,TOR,BOS,203471|1627751|1627783|1629018|1641711,0,REG,2024,1610612761,4410,0,2023.0,11.0,17.0,22300031.0,6d330b41-dc41-83b1-ed4c-acf2241a78f1
