SHOT_ID,video_url,PLAYER_ID,PLAYER_NAME,GRID_TYPE,GAME_ID,GAME_EVENT_ID,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,PLAYERS_ON,assisted,season_type,year_source,team_id,time,extra,year,month,day,api_game_id,uuid
220000199,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000019/9/5768c3ec-a459-048a-163e-b017c11b436b_1280x720.mp4,1628368,De'Aaron Fox,Shot Chart Detail,22000019,9,1610612758,Sacramento Kings,1,11,28,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,141,200,1,0,20201223,DEN,SAC,203084|1626158|1627741|1628368|1628963,0,REG,2021,1610612758,320,0,2020.0,12.0,23.0,22000019.0,5768c3ec-a459-048a-163e-b017c11b436b
2200001911,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000019/11/e0878bbe-f529-75c6-14f3-4e30fd53b317_1280x720.mp4,1626158,Richaun Holmes,Shot Chart Detail,22000019,11,1610612758,Sacramento Kings,1,11,22,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-14,27,1,0,20201223,DEN,SAC,203084|1626158|1627741|1628368|1628963,0,REG,2021,1610612758,380,0,2020.0,12.0,23.0,22000019.0,e0878bbe-f529-75c6-14f3-4e30fd53b317
2200001914,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000019/14/3e50bfd3-1a80-6f27-dff0-620254ee1bd9_1280x720.mp4,1628963,Marvin Bagley III,Shot Chart Detail,22000019,14,1610612758,Sacramento Kings,1,11,18,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-169,57,1,0,20201223,DEN,SAC,203084|1626158|1627741|1628368|1628963,0,REG,2021,1610612758,420,0,2020.0,12.0,23.0,22000019.0,3e50bfd3-1a80-6f27-dff0-620254ee1bd9
2200001927,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000019/27/3d7b3ea4-7541-2471-f37a-7ca3e6169c3d_1280x720.mp4,1627741,Buddy Hield,Shot Chart Detail,22000019,27,1610612758,Sacramento Kings,1,10,9,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-239,16,1,1,20201223,DEN,SAC,203084|1626158|1627741|1628368|1628963,1,REG,2021,1610612758,1110,0,2020.0,12.0,23.0,22000019.0,3d7b3ea4-7541-2471-f37a-7ca3e6169c3d
2200001930,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000019/30/6d2e48cd-fc3d-da0e-4bef-ba3455fd1899_1280x720.mp4,1628368,De'Aaron Fox,Shot Chart Detail,22000019,30,1610612758,Sacramento Kings,1,9,34,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,136,88,1,0,20201223,DEN,SAC,203084|1626158|1627741|1628368|1628963,0,REG,2021,1610612758,1460,0,2020.0,12.0,23.0,22000019.0,6d2e48cd-fc3d-da0e-4bef-ba3455fd1899
2200001933,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000019/33/7b647b02-bc77-1e33-1a19-165e0451f98d_1280x720.mp4,1628368,De'Aaron Fox,Shot Chart Detail,22000019,33,1610612758,Sacramento Kings,1,9,6,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-29,32,1,1,20201223,DEN,SAC,203084|1626158|1627741|1628368|1628963,1,REG,2021,1610612758,1740,0,2020.0,12.0,23.0,22000019.0,7b647b02-bc77-1e33-1a19-165e0451f98d
2200001940,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000019/40/8beaa3ae-5a28-ba4d-fa62-b20cd0d051d4_1280x720.mp4,1628368,De'Aaron Fox,Shot Chart Detail,22000019,40,1610612758,Sacramento Kings,1,8,48,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-118,-4,1,0,20201223,DEN,SAC,203084|1626158|1627741|1628368|1628963,0,REG,2021,1610612758,1920,0,2020.0,12.0,23.0,22000019.0,8beaa3ae-5a28-ba4d-fa62-b20cd0d051d4
2200001944,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000019/44/8bbfff7b-a7f8-e097-0d9e-2ebc222ad905_1280x720.mp4,1627741,Buddy Hield,Shot Chart Detail,22000019,44,1610612758,Sacramento Kings,1,8,30,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-226,119,1,0,20201223,DEN,SAC,203084|1626158|1627741|1628368|1628963,0,REG,2021,1610612758,2100,0,2020.0,12.0,23.0,22000019.0,8bbfff7b-a7f8-e097-0d9e-2ebc222ad905
2200001948,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000019/48/122ef59a-bb11-a4a5-3562-fc9001c16464_1280x720.mp4,203084,Harrison Barnes,Shot Chart Detail,22000019,48,1610612758,Sacramento Kings,1,8,11,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,109,242,1,0,20201223,DEN,SAC,203084|1626158|1627741|1628368|1628963,0,REG,2021,1610612758,2290,0,2020.0,12.0,23.0,22000019.0,122ef59a-bb11-a4a5-3562-fc9001c16464
2200001961,https://videos.nba.com/nba/pbp/media/2020/12/23/0022000019/61/07279348-6364-d956-6940-a9c46dc9d2b6_1280x720.mp4,1628368,De'Aaron Fox,Shot Chart Detail,22000019,61,1610612758,Sacramento Kings,1,7,16,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-234,47,1,1,20201223,DEN,SAC,203084|1626158|1627741|1628368|1628963,1,REG,2021,1610612758,2840,0,2020.0,12.0,23.0,22000019.0,07279348-6364-d956-6940-a9c46dc9d2b6
