SHOT_ID,video_url,PLAYER_ID,PLAYER_NAME,GRID_TYPE,GAME_ID,GAME_EVENT_ID,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,PLAYERS_ON,assisted,season_type,year_source,team_id,time,extra,year,month,day,api_game_id,uuid
213000053,,203487,Michael Carter-Williams,Shot Chart Detail,21300005,3,1610612755,Philadelphia 76ers,1,11,36,Made Shot,Driving Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,1,-11,1,1,20131030,PHI,MIA,|201150|201152|202323|202341|203487,0,REG,2014,1610612755,,,,,,,
213000058,,201150,Spencer Hawes,Shot Chart Detail,21300005,8,1610612755,Philadelphia 76ers,1,10,51,Made Shot,Running Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,124,74,1,1,20131030,PHI,MIA,|201150|201152|202323|202341|203487,1,REG,2014,1610612755,,,,,,,
2130000511,,202323,Evan Turner,Shot Chart Detail,21300005,11,1610612755,Philadelphia 76ers,1,10,33,Made Shot,Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,-10,-5,1,1,20131030,PHI,MIA,|201150|201152|202323|202341|203487,1,REG,2014,1610612755,,,,,,,
2130000514,,203487,Michael Carter-Williams,Shot Chart Detail,21300005,14,1610612755,Philadelphia 76ers,1,10,6,Made Shot,Jump Shot,,Left Corner 3,Left Side(L),24+ ft.,24,-243,-21,1,1,20131030,PHI,MIA,|201150|201152|202323|202341|203487,1,REG,2014,1610612755,,,,,,,
2130000520,,202323,Evan Turner,Shot Chart Detail,21300005,20,1610612755,Philadelphia 76ers,1,9,27,Made Shot,Driving Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,2,14,1,1,20131030,PHI,MIA,|201150|201152|202323|202341|203487,1,REG,2014,1610612755,,,,,,,
2130000522,,202323,Evan Turner,Shot Chart Detail,21300005,22,1610612755,Philadelphia 76ers,1,9,5,Made Shot,Turnaround Jump Shot,,Mid-Range,Left Side(L),8-16 ft.,14,-141,-8,1,1,20131030,PHI,MIA,|201150|201152|202323|202341|203487,0,REG,2014,1610612755,,,,,,,
2130000525,,201150,Spencer Hawes,Shot Chart Detail,21300005,25,1610612755,Philadelphia 76ers,1,8,29,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,170,-6,1,1,20131030,PHI,MIA,|201150|201152|202323|202341|203487,1,REG,2014,1610612755,,,,,,,
2130000537,,201150,Spencer Hawes,Shot Chart Detail,21300005,37,1610612755,Philadelphia 76ers,1,7,25,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-24,0,1,1,20131030,PHI,MIA,|201150|201152|202323|202341|203487,0,REG,2014,1610612755,,,,,,,
2130000543,,201152,Thaddeus Young,Shot Chart Detail,21300005,43,1610612755,Philadelphia 76ers,1,6,50,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-150,67,1,1,20131030,PHI,MIA,|201152|202341|202730|203100|203487,0,REG,2014,1610612755,,,,,,,
2130000546,,201152,Thaddeus Young,Shot Chart Detail,21300005,46,1610612755,Philadelphia 76ers,1,6,26,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,11,1,1,20131030,PHI,MIA,|201152|202341|202730|203100|203487,1,REG,2014,1610612755,,,,,,,
