SHOT_ID,video_url,PLAYER_ID,PLAYER_NAME,GRID_TYPE,GAME_ID,GAME_EVENT_ID,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,PLAYERS_ON,assisted,season_type,year_source,team_id,time,extra,year,month,day,api_game_id,uuid
2190001320,https://videos.nba.com/nba/pbp/media/2019/10/23/21900013.0/20/6c7d6726-e1af-a589-1edf-24e52af74e90_1280x720.mp4,1627750,Jamal Murray,Shot Chart Detail,21900013,20,1610612743,Denver Nuggets,1,10,33,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-4,32,1,0,20191023,POR,DEN,200794|203115|203914|203999|1627750,0,REG,2020,1610612743,870,0,2019.0,10.0,23.0,21900013.0,6c7d6726-e1af-a589-1edf-24e52af74e90
2190001324,https://videos.nba.com/nba/pbp/media/2019/10/23/21900013.0/24/8deafc9f-a218-5b95-009c-a982baf8cdc7_1280x720.mp4,203914,Gary Harris,Shot Chart Detail,21900013,24,1610612743,Denver Nuggets,1,10,19,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,217,143,1,1,20191023,POR,DEN,200794|203115|203914|203999|1627750,1,REG,2020,1610612743,1010,0,2019.0,10.0,23.0,21900013.0,8deafc9f-a218-5b95-009c-a982baf8cdc7
2190001332,https://videos.nba.com/nba/pbp/media/2019/10/23/21900013.0/32/0faacf44-40c8-1d72-a0c3-f84770fdbecc_1280x720.mp4,203914,Gary Harris,Shot Chart Detail,21900013,32,1610612743,Denver Nuggets,1,9,44,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-135,220,1,0,20191023,POR,DEN,200794|203115|203914|203999|1627750,0,REG,2020,1610612743,1360,0,2019.0,10.0,23.0,21900013.0,0faacf44-40c8-1d72-a0c3-f84770fdbecc
2190001336,https://videos.nba.com/nba/pbp/media/2019/10/23/21900013.0/36/47b4a53e-b451-6906-cde5-bb7d1d4f204a_1280x720.mp4,203914,Gary Harris,Shot Chart Detail,21900013,36,1610612743,Denver Nuggets,1,9,29,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-125,220,1,0,20191023,POR,DEN,200794|203115|203914|203999|1627750,0,REG,2020,1610612743,1510,0,2019.0,10.0,23.0,21900013.0,47b4a53e-b451-6906-cde5-bb7d1d4f204a
2190001338,https://videos.nba.com/nba/pbp/media/2019/10/23/21900013.0/38/0606976e-ee22-c8cf-9c0d-a1e4a4cce2e5_1280x720.mp4,200794,Paul Millsap,Shot Chart Detail,21900013,38,1610612743,Denver Nuggets,1,9,18,Missed Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,17,53,1,0,20191023,POR,DEN,200794|203115|203914|203999|1627750,0,REG,2020,1610612743,1620,0,2019.0,10.0,23.0,21900013.0,0606976e-ee22-c8cf-9c0d-a1e4a4cce2e5
2190001348,https://videos.nba.com/nba/pbp/media/2019/10/23/21900013.0/48/db5450da-0c9e-1933-3543-1375a28fd200_1280x720.mp4,203999,Nikola Jokić,Shot Chart Detail,21900013,48,1610612743,Denver Nuggets,1,8,28,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,16,1,0,20191023,POR,DEN,200794|203115|203914|203999|1627750,0,REG,2020,1610612743,2120,0,2019.0,10.0,23.0,21900013.0,db5450da-0c9e-1933-3543-1375a28fd200
2190001355,https://videos.nba.com/nba/pbp/media/2019/10/23/21900013.0/55/28622fb4-3ea9-724a-1f36-83eae26ddf9e_1280x720.mp4,1627750,Jamal Murray,Shot Chart Detail,21900013,55,1610612743,Denver Nuggets,1,7,47,Missed Shot,Driving Floating Bank Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,112,68,1,0,20191023,POR,DEN,200794|203115|203486|203914|1627750,0,REG,2020,1610612743,2530,0,2019.0,10.0,23.0,21900013.0,28622fb4-3ea9-724a-1f36-83eae26ddf9e
2190001365,https://videos.nba.com/nba/pbp/media/2019/10/23/21900013.0/65/b1133d97-173e-1a26-60fc-ea13a32fa8e6_1280x720.mp4,200794,Paul Millsap,Shot Chart Detail,21900013,65,1610612743,Denver Nuggets,1,7,20,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,1,264,1,1,20191023,POR,DEN,200794|203115|203486|203914|1627750,1,REG,2020,1610612743,2800,0,2019.0,10.0,23.0,21900013.0,b1133d97-173e-1a26-60fc-ea13a32fa8e6
2190001372,https://videos.nba.com/nba/pbp/media/2019/10/23/21900013.0/72/3349e452-365b-b1d2-47d9-d0a797a34cbb_1280x720.mp4,203115,Will Barton,Shot Chart Detail,21900013,72,1610612743,Denver Nuggets,1,6,37,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,114,47,1,0,20191023,POR,DEN,200794|203115|203486|203914|1627750,0,REG,2020,1610612743,3230,0,2019.0,10.0,23.0,21900013.0,3349e452-365b-b1d2-47d9-d0a797a34cbb
2190001377,https://videos.nba.com/nba/pbp/media/2019/10/23/21900013.0/77/a9435d0d-b5c3-10af-0992-0c5bf1a46e43_1280x720.mp4,200794,Paul Millsap,Shot Chart Detail,21900013,77,1610612743,Denver Nuggets,1,6,14,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,39,9,1,0,20191023,POR,DEN,200794|203115|203486|203914|1627750,0,REG,2020,1610612743,3460,0,2019.0,10.0,23.0,21900013.0,a9435d0d-b5c3-10af-0992-0c5bf1a46e43
