SHOT_ID,video_url,PLAYER_ID,PLAYER_NAME,GRID_TYPE,GAME_ID,GAME_EVENT_ID,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,PLAYERS_ON,assisted,season_type,year_source,team_id,time,extra,year,month,day,api_game_id,uuid
216000053,https://videos.nba.com/nba/pbp/media/2016/10/26/21600005.0/3/0aa1bbaa-6237-0013-108b-9bc240955554_1280x720.mp4,1717,Dirk Nowitzki,Shot Chart Detail,21600005,3,1610612742,Dallas Mavericks,1,11,29,Missed Shot,Turnaround Jump Shot,,Mid-Range,Left Side(L),16-24 ft.,16,-161,-11,1,0,20161026,IND,DAL,|101106|101114|1717|202083|203084,0,REG,2017,1610612742,,,2016.0,10.0,26.0,21600005.0,0aa1bbaa-6237-0013-108b-9bc240955554
2160000510,https://videos.nba.com/nba/pbp/media/2016/10/26/21600005.0/10/04a073e6-8067-b6a2-3802-b6df796bf497_1280x720.mp4,203084,Harrison Barnes,Shot Chart Detail,21600005,10,1610612742,Dallas Mavericks,1,10,55,Made Shot,Jump Shot,,Right Corner 3,Right Side(R),24+ ft.,23,230,-16,1,1,20161026,IND,DAL,|101106|101114|1717|202083|203084,1,REG,2017,1610612742,,,2016.0,10.0,26.0,21600005.0,04a073e6-8067-b6a2-3802-b6df796bf497
2160000515,https://videos.nba.com/nba/pbp/media/2016/10/26/21600005.0/15/7e098ba0-5e66-ba27-ad52-32bad2582547_1280x720.mp4,101114,Deron Williams,Shot Chart Detail,21600005,15,1610612742,Dallas Mavericks,1,10,5,Missed Shot,Jump Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-11,52,1,0,20161026,IND,DAL,|101106|101114|1717|202083|203084,0,REG,2017,1610612742,,,2016.0,10.0,26.0,21600005.0,7e098ba0-5e66-ba27-ad52-32bad2582547
2160000519,https://videos.nba.com/nba/pbp/media/2016/10/26/21600005.0/19/0eeee241-1afd-ca2b-1540-bc284b4f19e3_1280x720.mp4,101106,Andrew Bogut,Shot Chart Detail,21600005,19,1610612742,Dallas Mavericks,1,9,34,Missed Shot,Hook Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,8,-88,16,1,0,20161026,IND,DAL,|101106|101114|1717|202083|203084,0,REG,2017,1610612742,,,2016.0,10.0,26.0,21600005.0,0eeee241-1afd-ca2b-1540-bc284b4f19e3
2160000523,https://videos.nba.com/nba/pbp/media/2016/10/26/21600005.0/23/009e1684-c589-d2ac-39fd-450dc671862c_1280x720.mp4,101106,Andrew Bogut,Shot Chart Detail,21600005,23,1610612742,Dallas Mavericks,1,9,10,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-48,38,1,1,20161026,IND,DAL,|101106|101114|1717|202083|203084,0,REG,2017,1610612742,,,2016.0,10.0,26.0,21600005.0,009e1684-c589-d2ac-39fd-450dc671862c
2160000532,,101106,Andrew Bogut,Shot Chart Detail,21600005,32,1610612742,Dallas Mavericks,1,8,14,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,32,16,1,1,20161026,IND,DAL,|101106|101114|1717|202083|203084,1,REG,2017,1610612742,,,,,,,
2160000534,,202083,Wesley Matthews,Shot Chart Detail,21600005,34,1610612742,Dallas Mavericks,1,7,44,Missed Shot,Pullup Jump shot,,Mid-Range,Right Side Center(RC),16-24 ft.,17,63,165,1,0,20161026,IND,DAL,|101106|101114|1717|202083|203084,0,REG,2017,1610612742,,,,,,,
2160000535,,101106,Andrew Bogut,Shot Chart Detail,21600005,35,1610612742,Dallas Mavericks,1,7,42,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,-1,1,0,20161026,IND,DAL,|101106|101114|1717|202083|203084,0,REG,2017,1610612742,,,,,,,
2160000539,https://videos.nba.com/nba/pbp/media/2016/10/26/21600005.0/39/0ca6de4d-da97-56d1-2b28-cc10c62a8172_1280x720.mp4,203084,Harrison Barnes,Shot Chart Detail,21600005,39,1610612742,Dallas Mavericks,1,7,27,Missed Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,25,-184,183,1,0,20161026,IND,DAL,|101106|101114|1717|202083|203084,0,REG,2017,1610612742,,,2016.0,10.0,26.0,21600005.0,0ca6de4d-da97-56d1-2b28-cc10c62a8172
2160000546,https://videos.nba.com/nba/pbp/media/2016/10/26/21600005.0/46/169871ab-97b0-abd0-e314-a3cbd35688d8_1280x720.mp4,101114,Deron Williams,Shot Chart Detail,21600005,46,1610612742,Dallas Mavericks,1,6,50,Made Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,26,-145,223,1,1,20161026,IND,DAL,|101106|101114|200826|202083|203084,1,REG,2017,1610612742,,,2016.0,10.0,26.0,21600005.0,169871ab-97b0-abd0-e314-a3cbd35688d8
2160000552,https://videos.nba.com/nba/pbp/media/2016/10/26/21600005.0/52/87863a32-419d-62b4-ef0c-3b969b55d771_1280x720.mp4,203084,Harrison Barnes,Shot Chart Detail,21600005,52,1610612742,Dallas Mavericks,1,6,16,Missed Shot,Turnaround Jump Shot,,Mid-Range,Right Side(R),8-16 ft.,11,110,3,1,0,20161026,IND,DAL,|101106|101114|200826|202083|203084,0,REG,2017,1610612742,,,2016.0,10.0,26.0,21600005.0,87863a32-419d-62b4-ef0c-3b969b55d771
2160000556,https://videos.nba.com/nba/pbp/media/2016/10/26/21600005.0/56/e34c7fe1-16af-8b96-9445-07979376d0db_1280x720.mp4,202083,Wesley Matthews,Shot Chart Detail,21600005,56,1610612742,Dallas Mavericks,1,5,55,Missed Shot,Jump Shot,,Above the Break 3,Center(C),24+ ft.,26,-12,267,1,0,20161026,IND,DAL,|101106|101114|200826|202083|203084,0,REG,2017,1610612742,,,2016.0,10.0,26.0,21600005.0,e34c7fe1-16af-8b96-9445-07979376d0db
2160000570,https://videos.nba.com/nba/pbp/media/2016/10/26/21600005.0/70/e0e0b4cc-90cd-c773-c700-36e1d0f87e08_1280x720.mp4,101114,Deron Williams,Shot Chart Detail,21600005,70,1610612742,Dallas Mavericks,1,5,10,Made Shot,Jump Shot,,Right Corner 3,Right Side(R),24+ ft.,22,223,-5,1,1,20161026,IND,DAL,|101106|101114|200826|202083|203084,1,REG,2017,1610612742,,,2016.0,10.0,26.0,21600005.0,e0e0b4cc-90cd-c773-c700-36e1d0f87e08
2160000573,https://videos.nba.com/nba/pbp/media/2016/10/26/21600005.0/73/6049b39e-603e-a624-9b96-a791b0ed6b62_1280x720.mp4,101114,Deron Williams,Shot Chart Detail,21600005,73,1610612742,Dallas Mavericks,1,4,41,Made Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,6,7,1,1,20161026,IND,DAL,|101106|101114|200826|202083|203084,1,REG,2017,1610612742,,,2016.0,10.0,26.0,21600005.0,6049b39e-603e-a624-9b96-a791b0ed6b62
