SHOT_ID,video_url,PLAYER_ID,PLAYER_NAME,GRID_TYPE,GAME_ID,GAME_EVENT_ID,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,PLAYERS_ON,assisted,season_type,year_source,team_id,time,extra,year,month,day,api_game_id,uuid
216000122,https://videos.nba.com/nba/pbp/media/2016/10/26/0021600012/2/1014407b-2cb7-6391-f398-d2167a41c85a_1280x720.mp4,201951,Ty Lawson,Shot Chart Detail,21600012,2,1610612758,Sacramento Kings,1,11,37,Made Shot,Pullup Jump shot,,Mid-Range,Right Side(R),8-16 ft.,15,153,-29,1,1,20161026,PHX,SAC,|200752|201167|201585|201951|202326,1,REG,2017,1610612758,,,2016.0,10.0,26.0,21600012.0,1014407b-2cb7-6391-f398-d2167a41c85a
216000124,https://videos.nba.com/nba/pbp/media/2016/10/26/0021600012/4/492e7bf2-5948-dd6d-8469-58c5e3d53fd3_1280x720.mp4,201951,Ty Lawson,Shot Chart Detail,21600012,4,1610612758,Sacramento Kings,1,10,57,Missed Shot,Jump Shot,,Right Corner 3,Right Side(R),24+ ft.,23,233,0,1,0,20161026,PHX,SAC,|200752|201167|201585|201951|202326,0,REG,2017,1610612758,,,2016.0,10.0,26.0,21600012.0,492e7bf2-5948-dd6d-8469-58c5e3d53fd3
216000128,https://videos.nba.com/nba/pbp/media/2016/10/26/0021600012/8/f58e8569-9382-7c2e-5c17-b65b45e065f8_1280x720.mp4,202326,DeMarcus Cousins,Shot Chart Detail,21600012,8,1610612758,Sacramento Kings,1,10,40,Made Shot,Running Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,15,-1,1,1,20161026,PHX,SAC,|200752|201167|201585|201951|202326,1,REG,2017,1610612758,,,2016.0,10.0,26.0,21600012.0,f58e8569-9382-7c2e-5c17-b65b45e065f8
2160001210,https://videos.nba.com/nba/pbp/media/2016/10/26/0021600012/10/5b70f455-2c7d-9edb-0a78-0f16871ee36f_1280x720.mp4,201585,Kosta Koufos,Shot Chart Detail,21600012,10,1610612758,Sacramento Kings,1,9,50,Missed Shot,Hook Shot,,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,63,56,1,0,20161026,PHX,SAC,|200752|201167|201585|201951|202326,0,REG,2017,1610612758,,,2016.0,10.0,26.0,21600012.0,5b70f455-2c7d-9edb-0a78-0f16871ee36f
2160001214,https://videos.nba.com/nba/pbp/media/2016/10/26/0021600012/14/ff95a2d5-1bdb-ed48-6efb-da29744b331b_1280x720.mp4,201585,Kosta Koufos,Shot Chart Detail,21600012,14,1610612758,Sacramento Kings,1,9,29,Missed Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,2,14,16,1,0,20161026,PHX,SAC,|200752|201167|201585|201951|202326,0,REG,2017,1610612758,,,2016.0,10.0,26.0,21600012.0,ff95a2d5-1bdb-ed48-6efb-da29744b331b
2160001216,https://videos.nba.com/nba/pbp/media/2016/10/26/0021600012/16/c2d779e9-5cfe-10b5-a67b-2a0ec3a36e44_1280x720.mp4,202326,DeMarcus Cousins,Shot Chart Detail,21600012,16,1610612758,Sacramento Kings,1,9,27,Missed Shot,Jump Shot,,Left Corner 3,Left Side(L),24+ ft.,23,-230,8,1,0,20161026,PHX,SAC,|200752|201167|201585|201951|202326,0,REG,2017,1610612758,,,2016.0,10.0,26.0,21600012.0,c2d779e9-5cfe-10b5-a67b-2a0ec3a36e44
2160001228,https://videos.nba.com/nba/pbp/media/2016/10/26/0021600012/28/c8acf0bb-dc6a-f701-7980-1cc4ed4edbf7_1280x720.mp4,201167,Arron Afflalo,Shot Chart Detail,21600012,28,1610612758,Sacramento Kings,1,8,18,Made Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,25,120,228,1,1,20161026,PHX,SAC,|200752|201167|201585|201951|202326,1,REG,2017,1610612758,,,2016.0,10.0,26.0,21600012.0,c8acf0bb-dc6a-f701-7980-1cc4ed4edbf7
2160001230,https://videos.nba.com/nba/pbp/media/2016/10/26/0021600012/30/b5bfddfb-c2bd-8515-2e2d-0e3a93e0e079_1280x720.mp4,201585,Kosta Koufos,Shot Chart Detail,21600012,30,1610612758,Sacramento Kings,1,7,52,Missed Shot,Jump Shot,,In The Paint (Non-RA),Center(C),8-16 ft.,8,-22,77,1,0,20161026,PHX,SAC,|200752|201167|201585|201951|202326,0,REG,2017,1610612758,,,2016.0,10.0,26.0,21600012.0,b5bfddfb-c2bd-8515-2e2d-0e3a93e0e079
2160001240,https://videos.nba.com/nba/pbp/media/2016/10/26/0021600012/40/f1b8ffe5-4a7a-5589-a13b-834ddbde0eeb_1280x720.mp4,2440,Matt Barnes,Shot Chart Detail,21600012,40,1610612758,Sacramento Kings,1,6,58,Missed Shot,Jump Shot,,Above the Break 3,Center(C),24+ ft.,25,64,249,1,0,20161026,PHX,SAC,|200752|201167|201951|202326|2440,0,REG,2017,1610612758,,,2016.0,10.0,26.0,21600012.0,f1b8ffe5-4a7a-5589-a13b-834ddbde0eeb
2160001248,https://videos.nba.com/nba/pbp/media/2016/10/26/0021600012/48/fee88764-a171-8a1a-e6a3-27a4c4c3a3e3_1280x720.mp4,201951,Ty Lawson,Shot Chart Detail,21600012,48,1610612758,Sacramento Kings,1,6,19,Missed Shot,Running Jump Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,17,67,1,0,20161026,PHX,SAC,|1626161|200752|201167|201951|2440,0,REG,2017,1610612758,,,2016.0,10.0,26.0,21600012.0,fee88764-a171-8a1a-e6a3-27a4c4c3a3e3
2160001250,https://videos.nba.com/nba/pbp/media/2016/10/26/0021600012/50/8de09044-47d8-0e7c-8264-fb2f60da1e3a_1280x720.mp4,200752,Rudy Gay,Shot Chart Detail,21600012,50,1610612758,Sacramento Kings,1,6,4,Missed Shot,Turnaround Jump Shot,,Mid-Range,Right Side(R),8-16 ft.,15,155,-5,1,0,20161026,PHX,SAC,|1626161|200752|201167|201951|2440,0,REG,2017,1610612758,,,2016.0,10.0,26.0,21600012.0,8de09044-47d8-0e7c-8264-fb2f60da1e3a
2160001260,https://videos.nba.com/nba/pbp/media/2016/10/26/0021600012/60/e8999e17-d9a6-7f86-920d-18da98c3e745_1280x720.mp4,201167,Arron Afflalo,Shot Chart Detail,21600012,60,1610612758,Sacramento Kings,1,5,33,Missed Shot,Jump Shot,,Mid-Range,Left Side Center(LC),16-24 ft.,16,-53,154,1,0,20161026,PHX,SAC,|1626161|200752|201167|201951|2440,0,REG,2017,1610612758,,,2016.0,10.0,26.0,21600012.0,e8999e17-d9a6-7f86-920d-18da98c3e745
2160001267,https://videos.nba.com/nba/pbp/media/2016/10/26/0021600012/67/823fb260-6829-1a44-9dff-871524575c85_1280x720.mp4,200752,Rudy Gay,Shot Chart Detail,21600012,67,1610612758,Sacramento Kings,1,5,0,Missed Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,26,215,154,1,0,20161026,PHX,SAC,|1626161|200752|201167|201951|2440,0,REG,2017,1610612758,,,2016.0,10.0,26.0,21600012.0,823fb260-6829-1a44-9dff-871524575c85
2160001270,https://videos.nba.com/nba/pbp/media/2016/10/26/0021600012/70/d195aa62-c01e-0cef-e349-9eb4636105e1_1280x720.mp4,2440,Matt Barnes,Shot Chart Detail,21600012,70,1610612758,Sacramento Kings,1,4,45,Made Shot,Running Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,-11,0,1,1,20161026,PHX,SAC,|1626161|200752|201167|201951|2440,1,REG,2017,1610612758,,,2016.0,10.0,26.0,21600012.0,d195aa62-c01e-0cef-e349-9eb4636105e1
2160001276,https://videos.nba.com/nba/pbp/media/2016/10/26/0021600012/76/0551a9c2-de3d-d619-b498-199f77ade21a_1280x720.mp4,201167,Arron Afflalo,Shot Chart Detail,21600012,76,1610612758,Sacramento Kings,1,4,2,Missed Shot,Turnaround Jump Shot,,Mid-Range,Left Side(L),8-16 ft.,14,-147,-6,1,0,20161026,PHX,SAC,|1626161|201167|201229|201951|2440,0,REG,2017,1610612758,,,2016.0,10.0,26.0,21600012.0,0551a9c2-de3d-d619-b498-199f77ade21a
2160001292,https://videos.nba.com/nba/pbp/media/2016/10/26/0021600012/92/4a679098-3742-d65e-8622-5a2b307cac5f_1280x720.mp4,201229,Anthony Tolliver,Shot Chart Detail,21600012,92,1610612758,Sacramento Kings,1,3,9,Missed Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,26,-120,234,1,0,20161026,PHX,SAC,|1626161|201229|202066|203463|2440,0,REG,2017,1610612758,,,2016.0,10.0,26.0,21600012.0,4a679098-3742-d65e-8622-5a2b307cac5f
2160001296,https://videos.nba.com/nba/pbp/media/2016/10/26/0021600012/96/8fe216aa-142c-d4ad-0408-6ec102e59b7d_1280x720.mp4,202066,Garrett Temple,Shot Chart Detail,21600012,96,1610612758,Sacramento Kings,1,2,54,Made Shot,Pullup Jump shot,,Mid-Range,Left Side Center(LC),16-24 ft.,17,-142,105,1,1,20161026,PHX,SAC,|1626161|201229|202066|203463|2440,0,REG,2017,1610612758,,,2016.0,10.0,26.0,21600012.0,8fe216aa-142c-d4ad-0408-6ec102e59b7d
2160001299,,203463,Ben McLemore,Shot Chart Detail,21600012,99,1610612758,Sacramento Kings,1,2,20,Made Shot,Jump Shot,,Mid-Range,Left Side Center(LC),16-24 ft.,19,-96,165,1,1,20161026,PHX,SAC,|1626161|201229|202066|203463|2440,1,REG,2017,1610612758,,,,,,,
21600012102,https://videos.nba.com/nba/pbp/media/2016/10/26/0021600012/102/66b8a302-6a92-3ea8-e84d-a8f0814ec57d_1280x720.mp4,1626161,Willie Cauley-Stein,Shot Chart Detail,21600012,102,1610612758,Sacramento Kings,1,1,52,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,14,-63,129,1,1,20161026,PHX,SAC,|1626161|201229|202066|203463|2440,1,REG,2017,1610612758,,,2016.0,10.0,26.0,21600012.0,66b8a302-6a92-3ea8-e84d-a8f0814ec57d
21600012105,,203463,Ben McLemore,Shot Chart Detail,21600012,105,1610612758,Sacramento Kings,1,1,32,Made Shot,Jump Shot,,Mid-Range,Right Side Center(RC),16-24 ft.,20,68,190,1,1,20161026,PHX,SAC,|1626161|201229|202066|203463|2440,0,REG,2017,1610612758,,,,,,,
21600012113,,203463,Ben McLemore,Shot Chart Detail,21600012,113,1610612758,Sacramento Kings,1,0,57,Made Shot,Jump Shot,,Mid-Range,Left Side Center(LC),16-24 ft.,19,-125,151,1,1,20161026,PHX,SAC,|1626161|201229|202066|203463|2440,1,REG,2017,1610612758,,,,,,,
21600012118,,203463,Ben McLemore,Shot Chart Detail,21600012,118,1610612758,Sacramento Kings,1,0,52,Missed Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,26,200,175,1,0,20161026,PHX,SAC,|1626161|201229|202066|203463|2440,0,REG,2017,1610612758,,,,,,,
21600012120,https://videos.nba.com/nba/pbp/media/2016/10/26/0021600012/120/cffc4658-3413-e93a-aa50-273c502ef34b_1280x720.mp4,201229,Anthony Tolliver,Shot Chart Detail,21600012,120,1610612758,Sacramento Kings,1,0,38,Made Shot,Floating Jump shot,,In The Paint (Non-RA),Right Side(R),8-16 ft.,13,78,105,1,1,20161026,PHX,SAC,|1626161|201229|202066|203463|2440,0,REG,2017,1610612758,,,2016.0,10.0,26.0,21600012.0,cffc4658-3413-e93a-aa50-273c502ef34b
21600012122,https://videos.nba.com/nba/pbp/media/2016/10/26/0021600012/122/0c89fd70-99f4-34f9-b1ec-29193c5067e3_1280x720.mp4,1626161,Willie Cauley-Stein,Shot Chart Detail,21600012,122,1610612758,Sacramento Kings,1,0,28,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20161026,PHX,SAC,|1626161|201229|202066|203463|2440,1,REG,2017,1610612758,,,2016.0,10.0,26.0,21600012.0,0c89fd70-99f4-34f9-b1ec-29193c5067e3
21600012129,https://videos.nba.com/nba/pbp/media/2016/10/26/0021600012/129/b2a2a6f4-452c-c47d-ec6e-75ffb998c4bc_1280x720.mp4,202066,Garrett Temple,Shot Chart Detail,21600012,129,1610612758,Sacramento Kings,1,0,2,Made Shot,Floating Jump shot,,Mid-Range,Left Side(L),8-16 ft.,15,-151,36,1,1,20161026,PHX,SAC,|1626161|201229|202066|203463|2440,0,REG,2017,1610612758,,,2016.0,10.0,26.0,21600012.0,b2a2a6f4-452c-c47d-ec6e-75ffb998c4bc
21600012135,https://videos.nba.com/nba/pbp/media/2016/10/26/0021600012/135/14b7eae2-b9a8-9d53-61bc-34663290e268_1280x720.mp4,201229,Anthony Tolliver,Shot Chart Detail,21600012,135,1610612758,Sacramento Kings,2,11,20,Made Shot,Floating Jump shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,24,51,1,1,20161026,PHX,SAC,|1626161|201229|201951|201956|203463,0,REG,2017,1610612758,,,2016.0,10.0,26.0,21600012.0,14b7eae2-b9a8-9d53-61bc-34663290e268
21600012137,https://videos.nba.com/nba/pbp/media/2016/10/26/0021600012/137/0bff60ba-8ad2-cfa2-6a3c-5935b380ea6f_1280x720.mp4,201951,Ty Lawson,Shot Chart Detail,21600012,137,1610612758,Sacramento Kings,2,10,59,Missed Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,2,19,7,1,0,20161026,PHX,SAC,|1626161|201229|201951|201956|203463,0,REG,2017,1610612758,,,2016.0,10.0,26.0,21600012.0,0bff60ba-8ad2-cfa2-6a3c-5935b380ea6f
21600012139,,203463,Ben McLemore,Shot Chart Detail,21600012,139,1610612758,Sacramento Kings,2,10,54,Missed Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,25,210,139,1,0,20161026,PHX,SAC,|1626161|201229|201951|201956|203463,0,REG,2017,1610612758,,,,,,,
21600012142,https://videos.nba.com/nba/pbp/media/2016/10/26/0021600012/142/2d30bd10-9d5a-c8ef-3346-22561a0e13e8_1280x720.mp4,1626161,Willie Cauley-Stein,Shot Chart Detail,21600012,142,1610612758,Sacramento Kings,2,10,40,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20161026,PHX,SAC,|1626161|201229|201951|201956|203463,1,REG,2017,1610612758,,,2016.0,10.0,26.0,21600012.0,2d30bd10-9d5a-c8ef-3346-22561a0e13e8
21600012146,https://videos.nba.com/nba/pbp/media/2016/10/26/0021600012/146/7e78af4a-5f44-4feb-9817-f958cbb28be4_1280x720.mp4,1626161,Willie Cauley-Stein,Shot Chart Detail,21600012,146,1610612758,Sacramento Kings,2,9,52,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-150,75,1,0,20161026,PHX,SAC,|1626161|201229|201951|201956|203463,0,REG,2017,1610612758,,,2016.0,10.0,26.0,21600012.0,7e78af4a-5f44-4feb-9817-f958cbb28be4
21600012154,https://videos.nba.com/nba/pbp/media/2016/10/26/0021600012/154/f4bae390-f717-ac81-9284-cdeee39ec092_1280x720.mp4,200752,Rudy Gay,Shot Chart Detail,21600012,154,1610612758,Sacramento Kings,2,9,32,Missed Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-60,139,1,0,20161026,PHX,SAC,|200752|201585|201951|201956|203463,0,REG,2017,1610612758,,,2016.0,10.0,26.0,21600012.0,f4bae390-f717-ac81-9284-cdeee39ec092
21600012156,,203463,Ben McLemore,Shot Chart Detail,21600012,156,1610612758,Sacramento Kings,2,9,18,Missed Shot,Reverse Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,2,-20,8,1,0,20161026,PHX,SAC,|200752|201585|201951|201956|203463,0,REG,2017,1610612758,,,,,,,
21600012169,https://videos.nba.com/nba/pbp/media/2016/10/26/0021600012/169/66daac90-840e-d2ee-8f36-8b6752085f4f_1280x720.mp4,201585,Kosta Koufos,Shot Chart Detail,21600012,169,1610612758,Sacramento Kings,2,8,40,Missed Shot,Jump Shot,,Restricted Area,Center(C),Less Than 8 ft.,3,27,16,1,0,20161026,PHX,SAC,|200752|201585|201951|201956|203463,0,REG,2017,1610612758,,,2016.0,10.0,26.0,21600012.0,66daac90-840e-d2ee-8f36-8b6752085f4f
21600012172,https://videos.nba.com/nba/pbp/media/2016/10/26/0021600012/172/7882dbdb-dd18-56a0-d056-5e75e5f7371a_1280x720.mp4,200752,Rudy Gay,Shot Chart Detail,21600012,172,1610612758,Sacramento Kings,2,8,24,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,151,-21,1,1,20161026,PHX,SAC,|200752|201585|201951|201956|203463,0,REG,2017,1610612758,,,2016.0,10.0,26.0,21600012.0,7882dbdb-dd18-56a0-d056-5e75e5f7371a
