SHOT_ID,video_url,PLAYER_ID,PLAYER_NAME,GRID_TYPE,GAME_ID,GAME_EVENT_ID,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,PLAYERS_ON,assisted,season_type,year_source,team_id,time,extra,year,month,day,api_game_id,uuid
221000078,https://videos.nba.com/nba/pbp/media/2021/10/20/0022100007/8/8c1d58ea-bdb6-6b0b-4865-a86107e3fb68_1280x720.mp4,1629630,Ja Morant,Shot Chart Detail,22100007,8,1610612763,Memphis Grizzlies,1,11,23,Made Shot,Driving Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,2,6,21,1,1,20211020,MEM,CLE,|1628991|1629001|1629630|1630217|203500,0,REG,2022,1610612763,,,2021.0,10.0,20.0,22100007.0,8c1d58ea-bdb6-6b0b-4865-a86107e3fb68
2210000711,https://videos.nba.com/nba/pbp/media/2021/10/20/0022100007/11/b04415d8-8d83-c811-d240-96eb657aeec7_1280x720.mp4,1630217,Desmond Bane,Shot Chart Detail,22100007,11,1610612763,Memphis Grizzlies,1,10,59,Missed Shot,Jump Shot,,Above the Break 3,Center(C),24+ ft.,27,71,264,1,0,20211020,MEM,CLE,|1628991|1629001|1629630|1630217|203500,0,REG,2022,1610612763,,,2021.0,10.0,20.0,22100007.0,b04415d8-8d83-c811-d240-96eb657aeec7
2210000714,https://videos.nba.com/nba/pbp/media/2021/10/20/0022100007/14/907caadf-1189-5928-c04e-d4f80ac9ad0b_1280x720.mp4,1629001,De'Anthony Melton,Shot Chart Detail,22100007,14,1610612763,Memphis Grizzlies,1,10,55,Missed Shot,Jump Shot,,Mid-Range,Left Side(L),16-24 ft.,22,-185,124,1,0,20211020,MEM,CLE,|1628991|1629001|1629630|1630217|203500,0,REG,2022,1610612763,,,2021.0,10.0,20.0,22100007.0,907caadf-1189-5928-c04e-d4f80ac9ad0b
2210000718,https://videos.nba.com/nba/pbp/media/2021/10/20/0022100007/18/20d0400e-33a8-3920-7d73-e2e91db6af3c_1280x720.mp4,1629630,Ja Morant,Shot Chart Detail,22100007,18,1610612763,Memphis Grizzlies,1,10,37,Missed Shot,Running Pull-Up Jump Shot,,Above the Break 3,Center(C),24+ ft.,25,-36,248,1,0,20211020,MEM,CLE,|1628991|1629001|1629630|1630217|203500,0,REG,2022,1610612763,,,2021.0,10.0,20.0,22100007.0,20d0400e-33a8-3920-7d73-e2e91db6af3c
2210000721,https://videos.nba.com/nba/pbp/media/2021/10/20/0022100007/21/5ab07420-40dc-28cb-5d24-b7e89f98d09e_1280x720.mp4,1630217,Desmond Bane,Shot Chart Detail,22100007,21,1610612763,Memphis Grizzlies,1,10,3,Made Shot,Jump Shot,,Above the Break 3,Center(C),24+ ft.,25,38,251,1,1,20211020,MEM,CLE,|1628991|1629001|1629630|1630217|203500,1,REG,2022,1610612763,,,2021.0,10.0,20.0,22100007.0,5ab07420-40dc-28cb-5d24-b7e89f98d09e
2210000725,https://videos.nba.com/nba/pbp/media/2021/10/20/0022100007/25/414a0216-e68c-c54d-3349-80c12d45168e_1280x720.mp4,1629630,Ja Morant,Shot Chart Detail,22100007,25,1610612763,Memphis Grizzlies,1,9,38,Made Shot,Driving Finger Roll Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,1,9,1,1,20211020,MEM,CLE,|1628991|1629001|1629630|1630217|203500,0,REG,2022,1610612763,,,2021.0,10.0,20.0,22100007.0,414a0216-e68c-c54d-3349-80c12d45168e
2210000732,https://videos.nba.com/nba/pbp/media/2021/10/20/0022100007/32/b93fae0a-245c-fb28-c910-bfb447bb2917_1280x720.mp4,203500,Steven Adams,Shot Chart Detail,22100007,32,1610612763,Memphis Grizzlies,1,8,51,Missed Shot,Turnaround Jump Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-47,64,1,0,20211020,MEM,CLE,|1628991|1629001|1629630|1630217|203500,0,REG,2022,1610612763,,,2021.0,10.0,20.0,22100007.0,b93fae0a-245c-fb28-c910-bfb447bb2917
2210000734,https://videos.nba.com/nba/pbp/media/2021/10/20/0022100007/34/6e4adc90-d951-d494-b887-5a6227d8aef3_1280x720.mp4,1630217,Desmond Bane,Shot Chart Detail,22100007,34,1610612763,Memphis Grizzlies,1,8,49,Made Shot,Reverse Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20211020,MEM,CLE,|1628991|1629001|1629630|1630217|203500,0,REG,2022,1610612763,,,2021.0,10.0,20.0,22100007.0,6e4adc90-d951-d494-b887-5a6227d8aef3
2210000739,https://videos.nba.com/nba/pbp/media/2021/10/20/0022100007/39/d9413535-1697-54a5-387b-e1b93f5572ae_1280x720.mp4,1629630,Ja Morant,Shot Chart Detail,22100007,39,1610612763,Memphis Grizzlies,1,8,26,Made Shot,Running Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,1,11,9,1,1,20211020,MEM,CLE,|1628991|1629001|1629630|1630217|203500,0,REG,2022,1610612763,,,2021.0,10.0,20.0,22100007.0,d9413535-1697-54a5-387b-e1b93f5572ae
2210000746,https://videos.nba.com/nba/pbp/media/2021/10/20/0022100007/46/3017608a-7367-7bfd-b570-181667673784_1280x720.mp4,1630217,Desmond Bane,Shot Chart Detail,22100007,46,1610612763,Memphis Grizzlies,1,7,49,Made Shot,Pullup Jump shot,,Mid-Range,Center(C),16-24 ft.,21,-47,213,1,1,20211020,MEM,CLE,|1628991|1629001|1629630|1630217|203500,1,REG,2022,1610612763,,,2021.0,10.0,20.0,22100007.0,3017608a-7367-7bfd-b570-181667673784
